Item Number,Condition,Value
HP447,U,
SH342,U,
SW1176,U,
SW1290,U,
SW1223,U,
SW0841,U,
DIM005,U,
TLM167,U,
SH424,U,
COLTLBM22,U,
SW0512,U,
SH931,U,
SW0807,U,
DIS007,U,
DIS007,U,
DIS007,U,
ST001,U,
SH901,U,
ST007,U,
SH169,U,
90398pb005,U,
SH921,U,
SH532,U,
9039pb003,U,
SH033,U,
DIS011,U,
DIS011,U,
DIS011,U,
SH263,U,
SH930,U,
SW1071,U,
TLM163,U,
COLSH10,U,
SW0358,U,
SW0236,U,
LOR117,U,
SH226,U,
SH851,U,
COLTLBM30,U,
POC035,U,
DIS016,U,
SH920,U,
DIS004,U,
SH715,U,
HP455,U,
SH727,U,
SH713,U,
SH328,U,
SH919,U,
ST006,U,
SH892,U,
SH918,U,
SH667,U,
TNT012,U,
SW1159,U,
SW0207,U,
DIS004,U,
DIS004,U,
SW1301,U,
SH926,U,
SH917,U,
DIS010,U,
DIS010,U,
DIS010,U,
DIS046,U,
DIS140,U,
LOR118,U,
SW0513,U,
DIS045,U,
SW1305,U,
SW1305,U,
SIM025,U,
HP377,U,
HP387,U,
SH155,U,
SIM002,U,
IDEA160,U,
SW0598,U,
DIS016,U,
DIS016,U,
SW1289,U,
SW1130,U,
TWN484,U,
TWN485,U,
LOR120,U,
ST003,U,
SH367,U,
SW0205,U,
SW1291,U,
HP420,U,
SIM003,U,
IDEA159,U,
HP419,U,
SH227,U,
HP451,U,
HP246,U,
POC034,U,
POC013,U,
HP245,U,
SH609,U,
SW0487,U,
SH167,U,
SW0219,U,
SW0995,U,
TWN486,U,
TWN487,U,
SH172,U,
SH087,U,
SW0995,U,
TWN444,U,
SH660,U,
DIS017,U,
HP389,U,
SW0176,U,
LOR122,U,
SW0179a,U,
SW0707,U,
SW0707,U,
SW1236,U,
SH899,U,
SH899,U,
SH900,U,
DIS017,U,
DIS017,U,
HP252,U,
HP381,U,
SH564,U,
HP244,U,
SH569,U,
DIS147,U,
DIS147,U,
DIS147,U,
SH897,U,
SW1237,U,
SH939,U,
DIS015,U,
DIS015,U,
DIS015,U,
SH447,U,
SH339,U,
COLTLBM23,U,
HP390,U,
SH703,U,
SIM006,U,
SW0336,U,
TLM131,U,
SW0301,U,
SW1207,U,
SW1207,U,
SW0423,U,
SW1196,U,
SW0204,U,
HP392,U,
SH891,U,
ST004,U,
HP251,U,
ST002,U,
SH390,U,
SW0877,U,
TWN488,U,
TWN492,U,
SH419,U,
SW0611,U,
SW1299,U,
SH345,U,
SIM027,U,
SW0975,U,
SH638,U,
SIM004,U,
TLM166,U,
HP385,U,
SH860,U,
SW0508,U,
SW0508,U,
SW0213,U,
SW0338,U,
SW0217a,U,
SW0898,U,
SH337,U,
SH337,U,
SH573,U,
HP384,U,
SH890,U,
SIM012,U,
COLTLBM21,U,
POC022,U,
SW0467b,U,
SW1206,U,
HP452,U,
SH928,U,
SW0213,U,
SH712,U,
SH264,U,
SH905,U,
SW0442,U,
IDEA099,U,
SW0442,U,
SW1039,U,
SH821,U,
TLM148,U,
SH944,U,
COL211,U,
SIM008,U,
SH240,U,
SW0215,U,
SW0505,U,
SW0505,U,
SW0505,U,
SW1125,U,
SW1195,U,
HP386,U,
SH334,U,
SH661,U,
SH853,U,
SW0514,U,
DIS141,U,
DIS142,U,
SH832,U,
SW1226,U,
TLM132,U,
IDEA044,U,
DIS012,U,
DIS012,U,
DIS012,U,
DIS012,U,
DIS012,U,
SW1224,U,
IDEA102,U,
SW0511,U,
SH351,U,
SH307,U,
IDEA167,U,
SH003,U,
SH682,U,
DIS005,U,
DIS005,U,
DIS005,U,
DIS005,U,
DIS005,U,
SH570,U,
SW1228,U,
SW1297,U,
DIS009,U,
DIS009,U,
DIS009,U,
COLMAR01,U,
SH508,U,
SIM016,U,
SW0766,U,
TWN456,U,
IDEA032,U,
SH820,U,
IDEA101,U,
SCD009,U,
SW1173,U,
TLM162,U,
IDEA169,U,
IDEA170,U,
SH324,U,
SH377,U,
SW1216,U,
DIS090,U,
SH341,U,
SW0706,U,
HP393,U,
SW1163,U,
HP443,U,
SH856,U,
SIM017,U,
SIM021,U,
SW0585,U,
SW0585,U,
TLM135,U,
HP448,U,
COL426,U,
SH823,U,
SH682,U,
HP383,U,
SH259,U,
HP445,U,
SW0403,U,
SH402,U,
SH568,U,
SH499,U,
SH004,U,
IDEA168,U,
SH004,U,
SW0585,U,
SW0585,U,
SW0585,U,
SW1214,U,
SH512,U,
SW0370,U,
TLM157,U,
SH830,U,
SW0971,U,
SH665,U,
SW1296,U,
DIS026,U,
DIS026,U,
SH819,U,
SW0554,U,
SW0554,U,
SW0554,U,
SW1235,U,
SW1235,U,
SW1235,U,
SW1235,U,
SH828,U,
SH566,U,
SH565,U,
SW1148,U,
SIM020,U,
COL220,U,
COLTLBM01,U,
SW0188,U,
SW0188,U,
TNT039,U,
SH831,U,
SIM010,U,
TWN468,U,
SIM015,U,
COLMAR08,U,
HP144,U,
SH697,U,
SH697,U,
SCD003,U,
SCD003,U,
SH908,U,
SH904,U,
TLM164,U,
SH888,U,
SW0680,U,
SH833,U,
SW0640,U,
SW1258,U,
HP250,U,
TLM138,U,
COL301,U,
SH255,U,
COLMAR14,U,
SH466,U,
SW1170,U,
SH852,U,
SW0366,U,
SW0366,U,
TLM151,U,
SH698,U,
SH698,U,
SW1218,U,
DIS091,U,
SH089,U,
SH819,U,
SW0040b,U,
SW0040b,U,
TLM165,U,
COL300,U,
SH343,U,
IDEA046,U,
SH496,U,
SH496,U,
H379,U,
SH003,U,
SH567,U,
HP256,U,
TLM139,U,
SW0427,U,
SW0507,U,
SW1298,U,
TLM137,U,
COL226,U,
DIS086,U,
SH260,U,
SH315,U,
SH315,U,
SH315,U,
SH315,U,
HP376,U,
IDEA048,U,
IDEA100,U,
TNT054,U,
SH943,U,
SW0846,U,
SH572,U,
SW0539,U,
SW0451,U,
COL217,U,
SH824,U,
SW1096,U,
SH170,U,
SW0242,U,
DIS107,U,
SH907,U,
SW1046,U,
HP382,U,
IDEA030,U,
SH347,U,
HP380,U,
SH692,U,
SIM019,U,
HP391,U,
SW1117,U,
SW0424,U,
TLM154,U,
SW0412,U,
DIS057,U,
DIS105,U,
TLM136,U,
SW1202,U,
COL290,U,
COL223,U,
SH186,U,
HP450,U,
SW0211,U,
COLLT02,U,
COLSH07,U,
SH592a,U,
SH829,U,
SW0151,U,
SW0428,U,
SW0460,U,
SW0763,U,
COLTLBM31,U,
IAJ046,U,
SH644,U,
SW0997b,U,
TNT010,U,
SH332,U,
SW0320,U,
COL218,U,
SW0984,U,
SH376,U,
COL212,U,
SC038,U,
COLSH11,U,
DIS038,U,
DIS038,U,
SH560,U,
SW1229,U,
COLLT04,U,
SH344,U,
SH215,U,
DIS095,U,
SC034,U,
IDEA085,U,
IDEA084,U,
SW0560,U,
COLTLBM28,U,
DIS081,U,
SW0426,U,
COLLT03,U,
SW1094,U,
COL225,U,
SH711,U,
SW1116,U,
SW0578,U,
SW1058,U,
COL289,U,
COLMAR23,U,
SIM007,U,
HP378,U,
SW0679,U,
SH909,U,
SH018,U,
SH338,U,
SH400,U,
SW1036,U,
COL214,U,
IDEA147,U,
SW0823,U,
SH326,U,
SH855,U,
SH353,U,
SW1217,U,
COLMAR24,U,
DIS106,U,
SH177,U,
SH704,U,
SW0302,U,
COL224,U,
SW0635,U,
SH352,U,
SW1193,U,
SH825,U,
COLTLBM25,U,
COLTLBM39,U,
SH325,U,
COLTLBM43,U,
COL431,U,
SW0367,U,
SW0612,U,
SW1239,U,
COLMAR05,U,
SH574,U,
HP249,U,
SH652,U,
COL424,U,
SH645,U,
HP144,U,
SH528,U,
COL219,U,
Mar1936,U,
SIM026,U,
SW0597,U,
SH695,U,
SH012,U,
SW1155,U,
COLSH16,U,
SW0551,U,
COL433,U,
HP258,U,
SH530,U,
SW0897,U,
TNT010,U,
SH904,U,
DIS032,U,
COL288,U,
DIS002,U,
DIS002,U,
DIS002,U,
DIS002,U,
DIS002,U,
SW0365,U,
SW0874,U,
IDEA047,U,
SIM014,U,
SH778,U,
COLSH02,U,
IDEA103,U,
COLLT10,U,
SH710,U,
SW1137,U,
SH723,U,
SH709,U,
SH331,U,
COLMAR22,U,
COLSH01,U,
COLTLBM40,U,
DIS108,U,
IDEA150,U,
SH346,U,
SH908,U,
SW0092,U,
SW0092,U,
SW0969,U,
SW0969,U,
SW0969,U,
SW0963,U,
SW0678,U,
DIS109,U,
SH335,U,
COLMAR10,U,
COLTLBM10,U,
TWN295,U,
COL221,U,
SH575,U,
SH685,U,
COL295,U,
SH679,U,
COLMAR09,U,
SH673,U,
COL429,U,
SC002,U,
DIS094,U,
SH005,U,
COLLT07,U,
TWN374,U,
SH306,U,
SH306,U,
COL432,U,
COLMAR13,U,
SH086,U,
SH575,U,
TWN292,U,
COL292,U,
SH679,U,
COLTLBM11,U,
COLSH09,U,
SW0543,U,
COLMAR15,U,
DIS103,U,
SH333,U,
SIM013,U,
COLSH14,U,
COLTLBM42,U,
SH529,U,
SW0583,U,
COL216,U,
SH399,U,
TWN373,U,
COLMAR19,U,
DIS092,U,
DIS102,U,
IAJ047,U,
SP134,U,
SH305,U,
SH305,U,
SH305,U,
COLMAR18,U,
SC007,U,
SH415,U,
SH415,U,
SW0978,U,
SW0978,U,
COLMAR02,U,
DIS101,U,
SH316,U,
SH316,U,
SW0978,U,
COL434,U,
SW1205,U,
COLLT09,U,
SH662,U,
SH555,U,
SC024,U,
SW1192,U,
COLMAR21,U,
SH350,U,
SW0354,U,
SH847,U,
COLMAR17,U,
COLTLBM27,U,
COLTLBM12,U,
SW1158,U,
SW0839,U,
SW1065,U,
DIS093,U,
SIM009,U,
SW1238,U,
COLTLBM29,U,
DIS099,U,
SW1135,U,
COLMAR04,U,
SW1065,U,
SW0268,U,
SH658,U,
SW1194,U,
DIS100,U,
SW1319,U,
SW1319,U,
SW1319,U,
SW1319,U,
SW1319,U,
SW1319,U,
COL291,U,
COLLT06,U,
SIM005,U,
GEN152,U,
SH827,U,
SIM011,U,
SW0764,U,
DIS033,U,
COLMAR20,U,
COLLT11,U,
DIS098,U,
COL427,U,
HP255,U,
DIS097,U,
SH649,U,
SH649,U,
COL425,U,
COLMAR06,U,
IDEA149,U,
SW0785,U,
COLTLBM13,U,
SW1241,U,
COLTM06,U,
SW0762,U,
COLTLBM26,U,
SW1245,U,
SH805,U,
COLLT08,U,
DIS024,U,
SW0762,U,
COLMAR11,U,
COLTLBM14,U,
POC027,U,
SW1225,U,
TWN294,U,
COLMAR16,U,
TWN452,U,
COLLT05,U,
COLTLBM35,U,
SH714,U,
SW1045,U,
IDEA083,U,
SW0771,U,
SW0463,U,
TWN443,U,
COLTLBM15,U,
COL293,U,
COLSH05,U,
DIS034,U,
HP449,U,
SH708,U,
SW1220,U,
DIS035,U,
COLSH13,U,
COLSH15,U,
COLTLBM16,U,
COL430,U,
COLTLBM17,U,
COLTLBM32,U,
SW0161a,U,
COLTLBM18,U,
IDEA082,U,
SW0765,U,
COLTLBM44,U,
TWN453,U,
SW0905,U,
SW1054,U,
DIS014,U,
DIS014,U,
DIS014,U,
DIS014,U,
SH330,U,
SH330,U,
SH666,U,
SW1161,U,
HP247,U,
SW0893,U,
COLTLBM19,U,
COLMAR12,U,
LOR116,U,
SW1118,U,
COL286,U,
IAJ048,U,
LOR130,U,
SC037,U,
SW0667,U,
COLTLBM41,U,
HP454,U,
SW1139,U,
SW0425,U,
SH228,U,
TWN457,U,
SW0011a,U,
SW0011a,U,
SW011a,U,
DIS025,U,
DIS087,U,
SW0527,U,
SW1080,U,
SW1104,U,
SW0096,U,
SH637,U,
SH401,U,
SC104,U,
SH464,U,
SH589,U,
SH542,U,
SH542,U,
SW1078,U,
SW1079,U,
COL215,U,
SH074,U,
SW0011a,U,
SW0700,U,
SW0700,U,
SH542,U,
IDEA148,U,
SH696,U,
SW1227,U,
COLTM04,U,
SW0700,U,
TLM155,U,
SH030,U,
9038pb007,U,
SC039,U,
COL296,U,
LOR114,U,
LOR114,U,
SC022,U,
SW0700,U,
SH880,U,
TLM129,U,
COLSH08,U,
DIS013,U,
DIS013,U,
DIS013,U,
DIS013,U,
DIS013,U,
DIS013,U,
HP253,U,
SH214,U,
SH612,U,
SH612,U,
SW1077,U,
TWN451,U,
LOR115,U,
LOR115,U,
SW1113,U,
TWN421,U,
COLLT01,U,
COLTLBM02,U,
COLTLBM34,U,
SH612,U,
DIS104,U,
SW0875,U,
COL435,U,
COL299,U,
COLTLBM20,U,
SW0778,U,
SW0778,U,
DIS096,U,
DIS096,U,
SH538,U,
TLM150,U,
SW0677,U,
SW0857,U,
SH067,U,
TWN290,U,
POC038,U,
POC038,U,
SW1278,U,
SW1278,U,
TLM169,U,
SH639,U,
SW1276,U,
SW1276,U,
SW1276,U,
SW1276,U,
COLTM01,U,
TWN418,U,
COL428,U,
HP155,U,
SW0778,U,
COLTLBM03,U,
SW1277,U,
SW1277,U,
SW1197,U,
SH151,U,
DIS029,U,
DIS029,U,
SW1248,U,
SW1248,U,
COLLT12,U,
COLMAR03,U,
DIS031,U,
TLM152,U,
COLSH04,U,
SH826,U,
SH826,U,
COL213,U,
SW1113,U,
SW1113,U,
SC056,U,
COLTLBM38,U,
COLTLBM33,U,
SH718,U,
COLTLBM36,U,
IDEA031,U,
SH893,U,
SW0661,U,
SH312,U,
SH312,U,
SH312,U,
SH312,U,
SH312,U,
SH312,U,
SH571,U,
SW1115,U,
TWN289,U,
TWN417,U,
SC103,U,
SH571,U,
SW1248,U,
COLSH03,U,
SH684,U,
SH684,U,
TLM160,U,
DIS030,U,
DIS030,U,
TWN293,U,
SW0217,U,
SW0767,U,
SW1180,U,
SW1180,U,
TLM158,U,
COL222,U,
POC014,U,
HP248,U,
IDEA033,U,
SW0876,U,
SH536,U,
SH717,U,
TWN458,U,
TNT011,U,
COLSH06,U,
SW1119,U,
COLTLBM37,U,
SW1246,U,
SW1247,U,
SW1247,U,
SC053,U,
TLM149,U,
TWN423,U,
TNT011,U,
SW1246,U,
TNT022,U,
COL297,U,
SH318,U,
SH318,U,
SW0532,U,
SW0532,U,
COLTLBM04,U,
SW1247,U,
COLTLBM05,U,
SW0831a,U,
SH716,U,
SC057,U,
SC102,U,
SW0430,U,
DIS036,U,
SW1074,U,
COLTLBM06,U,
SW1181,U,
COL294,U,
SH082,U,
SH802,U,
SW0968,U,
COLMAR07,U,
SW0851,U,
SH329,U,
SH329,U,
SH329,U,
SH329,U,
SH329,U,
SC059,U,
SH216,U,
SW1178,U,
SW1179,U,
SH433,U,
SW0676,U,
SH719,U,
SW1143,U,
SW0360,U,
DIS040,U,
DIS040,U,
SH335,U,
SH433,U,
SC058,U,
COLTLBM07,U,
SW0532,U,
SW0532,U,
TLM156,U,
SC106,U,
SW12221,U,
SH725,U,
SH894,U,
TLM159,U,
TLM153,U,
SH747,U,
SH439,U,
SH684,U,
SH684,U,
COLSH12,U,
SC055,U,
SH439,U,
SH826,U,
SW0473,U,
SC078,U,
SW0996,U,
SW0996,U,
HP418,U,
SW0655,U,
SW1040,U,
SH721,U,
TWN419,U,
TWN291,U,
SH561,U,
SH561,U,
SH726,U,
SW1153,U,
SC072,U,
SC107,U,
TWN454,U,
Sc105,U,
TWN455,U,
SC100,U,
COL287,U,
SH585b,U,
SC108,U,
SH585B,U,
SC109,U,
SH720,U,
COLTLBM08,U,
SW1321,U,
SW1321,U,
SW1321,U,
SW1321,U,
SW1321,U,
SW1321,U,
SW1120,U,
SC099,U,
SP135,U,
HP254,U,
TLM161,U,
SC076,U,
SC098,U,
SH653,U,
SW0527a,U,
SW0527a,U,
SC084,U,
SC085,U,
TWN420,U,
SH740,U,
SW1085,U,
SH568,U,
SH568,U,
SC095,U,
SC075,U,
SC083,U,
SW1085,U,
SW0001d,U,
SW0001d,U,
TWN422,U,
SW0527a,U,
SH568,U,
SH568,U,
SW0683,U,
DIS041,U,
DIS041,U,
SC101,U,
IDEA052,U,
SC097,U,
IDEA053,U,
IDEA055,U,
TWN460,U,
SC068,U,
SC089,U,
HP316,U,
SC077,U,
TWN459,U,
90398pb006,U,
90398pb006,U,
90398pb006,U,
90398pb006,U,
90398pb006,U,
90398pb006,U,
90398pb006,U,
90398pb006,U,
SC081,U,
SC086,U,
SC096,U,
SW1320,U,
SW1320,U,
COLTLBM09,U,
SH562,U,
SH562,U,
SC094,U,
IDEA054,U,
SW0681,U,
SC088,U,
SH624,U,
SH624,U,
SH624,U,
SC082,U,
90398pb040,U,
SC069,U,
SH505,U,
SH505,U,
SW0156,U,
SH505,U,
SH505,U,
SH505,U,
SH730,U,
SH730,U,
SH730,U,
SH730,U,
TLM125,U,
SW1295,U,
SC087,U,
SW0682,U,
90398PB018,U,
SW0001c,U,
SW0001c,U,
SW0001c,U,
SW0001c,U,
SW0001c,U,
SW0001c,U,
SW0001c,U,
SW0001c,U,
SW0001c,U,
90398pb020,U,
sw0001c,U,
90398pb016,U,
SW0001c,U,
SW0001C,U,
SW1294,U,
SW0001c,U,
SW0001c,U,
SW0652,U,
SW0652,U,
SW0652,U,
GEN047,U,
GEN047,U,
GEN047,U,
SW1174,U,
90398PB044,U,
90398pb017,U,
90398pb021,U,
90398pb019,U,
90398pb022,U,
90398pb024,U,
90398pb025,U,
90398pb026,U,
SW0156a,U,
90398pb015,U,
12608pb01,U,
90398pb029,U,
90398pb023,U,
90398pb027,U,
90398pb028,U,
90398pb030,U,
SW0983,U,
90398pb034,U,
90398pb032,U,
90398pb033,U,
90398pb035,U,
90398pb036,U,
90398pb037,U,
90398pb038,U,
90398pb031,U,
,,
,,
,,
,,
,,
SH371,U,
SH370,U,
SH372,U,
SH373,U,
CTY0668,U,
TWN269,U,
TWN273,U,
TWN270,U,
TWN272,U,
TWN268,U,
TWN275,U,
TWN274,U,
TWN271,U,
SCD010,U,
SCD001,U,
SCD002,U,
SCD001,U,
SCD008,U,
SCD003,U,
SCD009,U,
SCD004,U,
SCD013,U,
SCD012,U,
SCD014,U,
SCD006,U,
SCD004,U,
SCD007,U,
SCD003,U,
SCD011,U,
SCD005,U,
TNT011,U,
TNT036,U,
TNT038,U,
TN037,U,
TNT035,U,
,U,
,U,
,U,
,U,
,U,
,U,
,U,
DIS027,U,
DIS028,U,
DIS037,U,
COLTM08,U,
COLTM03,U,
COLTM02,U,
COLTM07,U,
COLTM04,U,
COLTM12,U,
COLTM05,U,
COLTM06,U,
COLTM01,U,
COLTM10,U,
COLTM11,U,
COLTM09,U,
SIM028,U,
SIM029,U,
SIM030,U,
SIM005,U,
SIM031,U,
SIM032,U,
SIM033,U,
SIM034,U,
SIM035,U,
SIM036,U,
SIM037,U,
SIM038,U,
SIM039,U,
SIM040,U,
SIM041,U,
SIM042,U,
,U,
,U,
SW0501,U,
SW0500,U,
SW0443,U,
SW0499,U,
SW0413,U,
SW0414,U,
SW0414,U,
